num_players,num_timesteps,weight,alpha_mse,nn_mse_centered,pred_mse_true_inputs,pred_mse_est_inputs,btl_likelihood,total_objective
50,20,5.0,0.02810603752732277,6.277383590713725e-07,0.03842801973223686,0.08252867311239243,-16376.5859375,-13.371025085449219
50,20,10.0,0.027917589992284775,8.66978211888636e-07,0.04107530787587166,0.08753125369548798,-16393.373046875,-13.388337135314941
50,20,30.0,0.030068811029195786,7.865787665650714e-07,0.03918749466538429,0.13586387038230896,-16659.26953125,-13.620492935180664
50,30,5.0,0.027373196557164192,7.959823733472149e-07,0.040151093155145645,0.08979424834251404,-24513.26171875,-20.01546859741211
50,30,10.0,0.028763020411133766,1.1963290944549954e-06,0.047988422214984894,0.09219677746295929,-24650.447265625,-20.15170669555664
50,30,30.0,0.03089074417948723,2.856050969057833e-06,0.04494515806436539,0.1394154578447342,-25285.9453125,-20.74355125427246
50,50,5.0,0.026239704340696335,9.324925827058905e-07,0.040118396282196045,0.08218289166688919,-41030.18359375,-33.508033752441406
50,50,10.0,0.02597716450691223,1.2861283948950586e-06,0.04127933084964752,0.0874507948756218,-40957.2578125,-33.4645881652832
50,50,30.0,0.028298266232013702,8.095097427940345e-07,0.04216128587722778,0.09874054044485092,-41452.546875,-33.91621780395508
100,20,5.0,0.012353240512311459,5.947275667494978e-07,0.028696568682789803,0.045260682702064514,-67073.1640625,-13.552186965942383
100,20,10.0,0.01238065306097269,5.840840913151624e-07,0.031258516013622284,0.04857629910111427,-67243.640625,-13.588987350463867
100,20,30.0,0.01480934675782919,1.2087806453564554e-06,0.03125501051545143,0.11701839417219162,-68963.671875,-13.981679916381836
100,30,5.0,0.011800911277532578,6.78116123253858e-07,0.026966430246829987,0.041998039931058884,-100656.703125,-20.336166381835938
100,30,10.0,0.012162062339484692,6.130271685833577e-07,0.02806331403553486,0.044243935495615005,-100806.125,-20.367353439331055
100,30,30.0,0.012658319436013699,7.655837066522508e-07,0.02845398150384426,0.05657850578427315,-101362.0625,-20.482913970947266
100,50,5.0,0.011312290094792843,8.345461424141831e-07,0.024787537753582,0.042524151504039764,-168259.125,-33.99336242675781
100,50,10.0,0.011324803344905376,8.377702442885493e-07,0.023419460281729698,0.042753275483846664,-168271.078125,-33.9974365234375
100,50,30.0,0.011661550030112267,1.0735800515249139e-06,0.024765336886048317,0.04833279922604561,-168892.09375,-34.129905700683594
200,20,5.0,0.005457160994410515,9.239200267074921e-07,0.030464312061667442,0.02632414922118187,-271697.40625,-13.653717041015625
200,20,10.0,0.005732501856982708,1.9650465219456237e-06,0.030537199229002,0.030361803248524666,-272017.53125,-13.671480178833008
200,20,30.0,0.006485382094979286,1.1034824183298042e-06,0.03173789009451866,0.06139817833900452,-275114.375,-13.831672668457031
200,30,5.0,0.005123557522892952,1.6644860352243995e-06,0.02416665107011795,0.025260236114263535,-408147.1875,-20.510990142822266
200,30,10.0,0.005161645356565714,1.7905904314829968e-06,0.02402232028543949,0.027527853846549988,-408531.75,-20.531036376953125
200,30,30.0,0.005877232179045677,2.194153694290435e-06,0.02494930475950241,0.04486978054046631,-411188.3125,-20.67070770263672
200,50,5.0,0.004961255472153425,3.351175791976857e-06,0.022443309426307678,0.025106675922870636,-681295.375,-34.236629486083984
200,50,10.0,0.005010364577174187,3.4174031497968826e-06,0.022530971094965935,0.02659132331609726,-681471.625,-34.246158599853516
200,50,30.0,0.005435158498585224,3.5380019198782975e-06,0.022909924387931824,0.031976062804460526,-683593.625,-34.354862213134766
