sweep,param,value,seed,alpha_mse,phi_mse,constraint_residual
sparsity,erdos_renyi_p,0.1,0,0.09767700731754303,2.4062743186950684,1.9073486328125e-06
sparsity,erdos_renyi_p,0.1,1,0.0923188105225563,9.46390438079834,1.9073486328125e-06
sparsity,erdos_renyi_p,0.1,2,0.09005067497491837,14.527138710021973,2.86102294921875e-06
sparsity,erdos_renyi_p,0.1,3,0.09548071026802063,7.775279521942139,1.9073486328125e-06
sparsity,erdos_renyi_p,0.1,4,0.1019618883728981,10.038284301757812,2.384185791015625e-06
sparsity,erdos_renyi_p,0.2,0,0.08693195134401321,3.6770505905151367,1.9073486328125e-06
sparsity,erdos_renyi_p,0.2,1,0.09322432428598404,222.02850341796875,1.1444091796875e-05
sparsity,erdos_renyi_p,0.2,2,0.08420221507549286,6.261538028717041,1.430511474609375e-06
sparsity,erdos_renyi_p,0.2,3,0.09436214715242386,7.958973407745361,3.814697265625e-06
sparsity,erdos_renyi_p,0.2,4,0.09614706039428711,32.752159118652344,3.814697265625e-06
sparsity,erdos_renyi_p,0.4,0,0.08728714287281036,1.4333093166351318,9.5367431640625e-07
sparsity,erdos_renyi_p,0.4,1,0.09044377505779266,0.8343653678894043,4.76837158203125e-07
sparsity,erdos_renyi_p,0.4,2,0.08315417170524597,0.20221465826034546,4.76837158203125e-07
sparsity,erdos_renyi_p,0.4,3,0.08875326067209244,29.934715270996094,3.814697265625e-06
sparsity,erdos_renyi_p,0.4,4,0.08359962701797485,241.99752807617188,1.1444091796875e-05
sparsity,erdos_renyi_p,0.6,0,0.08355238288640976,0.18481455743312836,3.5762786865234375e-07
sparsity,erdos_renyi_p,0.6,1,0.08284031599760056,0.14342406392097473,2.384185791015625e-07
sparsity,erdos_renyi_p,0.6,2,0.08196575939655304,0.14594800770282745,2.384185791015625e-07
sparsity,erdos_renyi_p,0.6,3,0.08669465780258179,0.18916113674640656,2.384185791015625e-07
sparsity,erdos_renyi_p,0.6,4,0.08692067116498947,0.13209842145442963,3.5762786865234375e-07
sparsity,erdos_renyi_p,0.8,0,0.07650688290596008,0.4080660939216614,4.76837158203125e-07
sparsity,erdos_renyi_p,0.8,1,0.07607302069664001,0.12074916809797287,3.5762786865234375e-07
sparsity,erdos_renyi_p,0.8,2,0.0752219706773758,0.4344232976436615,5.960464477539062e-07
sparsity,erdos_renyi_p,0.8,3,0.08361341059207916,0.18358451128005981,4.76837158203125e-07
sparsity,erdos_renyi_p,0.8,4,0.08470066636800766,0.09389908611774445,2.384185791015625e-07
sparsity,erdos_renyi_p,1.0,0,0.07360196113586426,0.1301545649766922,3.5762786865234375e-07
sparsity,erdos_renyi_p,1.0,1,0.07818632572889328,0.07990540564060211,3.5762786865234375e-07
sparsity,erdos_renyi_p,1.0,2,0.07239405810832977,0.11988135427236557,2.384185791015625e-07
sparsity,erdos_renyi_p,1.0,3,0.07918215543031693,0.10118640959262848,2.384185791015625e-07
sparsity,erdos_renyi_p,1.0,4,0.08270487189292908,0.136353999376297,2.384185791015625e-07
