rep_seed,true_p,candidate_p,val_avg_loglik,val_alpha_mse
10000,1,1,-0.8290808796882629,0.10562475770711899
10000,1,2,-1.6716971397399902,0.1106422170996666
10000,1,3,-1.0434328317642212,0.09631695598363876
10000,1,4,-0.8064908981323242,0.09019244462251663
10000,1,5,-0.8159377574920654,0.08728304505348206
10000,1,6,-0.7230471968650818,0.09461410343647003
10000,1,8,-0.7171170711517334,0.10186739265918732
10000,1,10,-0.7277356386184692,0.10894414782524109
10001,1,1,-0.8099005818367004,0.11089497059583664
10001,1,2,-9.62185287475586,0.09980984032154083
10001,1,3,-1.1893036365509033,0.11291055381298065
10001,1,4,-0.8994322419166565,0.10138610750436783
10001,1,5,-0.7625641226768494,0.10572302341461182
10001,1,6,-0.7350093126296997,0.10068849474191666
10001,1,8,-0.7527393102645874,0.10564453154802322
10001,1,10,-0.73441481590271,0.09967073053121567
10002,1,1,-0.8327702283859253,0.10505765676498413
10002,1,2,-97.7466049194336,0.11338202655315399
10002,1,3,-0.9441709518432617,0.10138577967882156
10002,1,4,-0.8275514841079712,0.09455311298370361
10002,1,5,-0.7284651398658752,0.09938142448663712
10002,1,6,-0.7889615297317505,0.10198020190000534
10002,1,8,-0.7282620668411255,0.10145951807498932
10002,1,10,-0.7426987886428833,0.09930603206157684
10003,1,1,-0.858169674873352,0.10496842116117477
10003,1,2,-1.8144316673278809,0.10397132486104965
10003,1,3,-1.1613764762878418,0.10695924609899521
10003,1,4,-0.8427366018295288,0.11040204763412476
10003,1,5,-0.786193311214447,0.11006486415863037
10003,1,6,-0.7832465767860413,0.09642485529184341
10003,1,8,-0.7412682175636292,0.09760553389787674
10003,1,10,-0.7201404571533203,0.09071408957242966
10004,1,1,-0.7838031053543091,0.11062021553516388
10004,1,2,-400518.4375,0.09558692574501038
10004,1,3,-0.9543746113777161,0.1061418205499649
10004,1,4,-0.7845324873924255,0.10855939239263535
10004,1,5,-0.7702366709709167,0.10540906339883804
10004,1,6,-0.7708191275596619,0.09446414560079575
10004,1,8,-0.7305148243904114,0.08805228024721146
10004,1,10,-0.7225207686424255,0.1052517220377922
10005,1,1,-0.8404136300086975,0.1005019024014473
10005,1,2,-9.588274002075195,0.10857630521059036
10005,1,3,-0.8267090916633606,0.10797224938869476
10005,1,4,-0.8071735501289368,0.10597565025091171
10005,1,5,-0.8100457787513733,0.101590096950531
10005,1,6,-0.7427271604537964,0.0926605686545372
10005,1,8,-0.7489821910858154,0.11395787447690964
10005,1,10,-0.7373619079589844,0.10893746465444565
10006,1,1,-0.8935046195983887,0.11403229087591171
10006,1,2,-1.5686174631118774,0.10794316232204437
10006,1,3,-0.9400632381439209,0.09609834849834442
10006,1,4,-0.9677062034606934,0.10013047605752945
10006,1,5,-0.7621126770973206,0.10399381816387177
10006,1,6,-0.7844686508178711,0.10255267471075058
10006,1,8,-0.7226511240005493,0.1128268912434578
10006,1,10,-0.7145341038703918,0.10018276423215866
10007,1,1,-1.2270288467407227,0.09899687021970749
10007,1,2,-2.126655340194702,0.10385899990797043
10007,1,3,-0.9082801938056946,0.09721606969833374
10007,1,4,-0.8220103979110718,0.10424167662858963
10007,1,5,-0.8091539740562439,0.09204193949699402
10007,1,6,-0.7571879029273987,0.08856932818889618
10007,1,8,-0.7385706901550293,0.11252612620592117
10007,1,10,-0.7301801443099976,0.1002819687128067
10008,1,1,-0.7882400155067444,0.09258618950843811
10008,1,2,-1.3903521299362183,0.11590627580881119
10008,1,3,-0.9395337700843811,0.08822818845510483
10008,1,4,-0.8577972650527954,0.11091823130846024
10008,1,5,-0.8288178443908691,0.10886257886886597
10008,1,6,-0.7383393049240112,0.10920187085866928
10008,1,8,-0.7079629302024841,0.10834293067455292
10008,1,10,-0.7206802368164062,0.08879730105400085
10009,1,1,-0.7664989829063416,0.10083533078432083
10009,1,2,-1.2894775867462158,0.09706688672304153
10009,1,3,-0.8699663877487183,0.08639532327651978
10009,1,4,-0.8240191340446472,0.10452254861593246
10009,1,5,-0.7753463983535767,0.10314248502254486
10009,1,6,-0.7770177125930786,0.11048481613397598
10009,1,8,-0.7166945934295654,0.08978346735239029
10009,1,10,-0.720187246799469,0.09670261293649673
20000,2,1,-0.722632884979248,0.08339016139507294
20000,2,2,-1.8914402723312378,0.0979720801115036
20000,2,3,-0.9116673469543457,0.09475743025541306
20000,2,4,-0.7504903078079224,0.09149154275655746
20000,2,5,-0.839924156665802,0.09542206674814224
20000,2,6,-0.7731316685676575,0.10731774568557739
20000,2,8,-0.7372279167175293,0.10112550109624863
20000,2,10,-0.7093617916107178,0.09640512615442276
20001,2,1,-0.7824435830116272,0.10181679576635361
20001,2,2,-3.454404830932617,0.0996284931898117
20001,2,3,-0.9733620285987854,0.08996065706014633
20001,2,4,-0.840532124042511,0.1069226935505867
20001,2,5,-0.821881115436554,0.0941886454820633
20001,2,6,-0.7472635507583618,0.10256734490394592
20001,2,8,-0.7399603724479675,0.10523855686187744
20001,2,10,-0.723361611366272,0.09853561967611313
20002,2,1,-0.7290098071098328,0.09677129983901978
20002,2,2,-12.74055004119873,0.09745471179485321
20002,2,3,-0.8443984985351562,0.09448942542076111
20002,2,4,-0.8517444729804993,0.08803452551364899
20002,2,5,-0.8450583815574646,0.10608310252428055
20002,2,6,-0.7360846400260925,0.10331228375434875
20002,2,8,-0.7390296459197998,0.09342903643846512
20002,2,10,-0.7453434467315674,0.10038632154464722
20003,2,1,-0.7633537650108337,0.1072242334485054
20003,2,2,-3.3622477054595947,0.10333389043807983
20003,2,3,-0.9816586971282959,0.08818981796503067
20003,2,4,-0.8432419896125793,0.09736955910921097
20003,2,5,-0.7635687589645386,0.09772709012031555
20003,2,6,-0.7628769874572754,0.09548593312501907
20003,2,8,-0.7432790398597717,0.09949100762605667
20003,2,10,-0.7329022884368896,0.10295136272907257
20004,2,1,-0.8242967128753662,0.10190960764884949
20004,2,2,-1.9271529912948608,0.0982128158211708
20004,2,3,-0.9926337003707886,0.11040734499692917
20004,2,4,-0.8703259229660034,0.1038801297545433
20004,2,5,-0.805328369140625,0.09343153238296509
20004,2,6,-0.736260712146759,0.09894492477178574
20004,2,8,-0.7153360843658447,0.10359316319227219
20004,2,10,-0.7278608083724976,0.10198105126619339
20005,2,1,-0.8789971470832825,0.09916017204523087
20005,2,2,-13.597701072692871,0.10269003361463547
20005,2,3,-0.8154063820838928,0.10167047381401062
20005,2,4,-0.8961766958236694,0.10278820246458054
20005,2,5,-0.8145854473114014,0.10087493062019348
20005,2,6,-0.7550668716430664,0.09952682256698608
20005,2,8,-0.7635369300842285,0.09768523275852203
20005,2,10,-0.7192554473876953,0.1085856631398201
20006,2,1,-0.7882183790206909,0.1108098104596138
20006,2,2,-158.01498413085938,0.09011666476726532
20006,2,3,-1.1410470008850098,0.09853892773389816
20006,2,4,-0.7906011343002319,0.07962311804294586
20006,2,5,-0.7380209565162659,0.11174999177455902
20006,2,6,-0.781002938747406,0.09740058332681656
20006,2,8,-0.7491779327392578,0.09397033601999283
20006,2,10,-0.7416512370109558,0.1059696227312088
20007,2,1,-0.7766496539115906,0.10830730944871902
20007,2,2,-2.1388487815856934,0.11078519374132156
20007,2,3,-1.0863018035888672,0.10186389088630676
20007,2,4,-0.8300277590751648,0.10836322605609894
20007,2,5,-0.8064579367637634,0.09839285910129547
20007,2,6,-0.7665727734565735,0.10385264456272125
20007,2,8,-0.7075649499893188,0.10156901925802231
20007,2,10,-0.7365225553512573,0.08429040759801865
20008,2,1,-1.1713125705718994,0.0997883677482605
20008,2,2,-568.0282592773438,0.11344872415065765
20008,2,3,-0.9326526522636414,0.1028636023402214
20008,2,4,-0.866001307964325,0.09278520941734314
20008,2,5,-0.7738877534866333,0.08249939978122711
20008,2,6,-0.734254002571106,0.10149378329515457
20008,2,8,-0.7470335960388184,0.11029123514890671
20008,2,10,-0.7252724170684814,0.10380347818136215
20009,2,1,-0.7943641543388367,0.08731363713741302
20009,2,2,-3.8157970905303955,0.09380944818258286
20009,2,3,-0.9790019989013672,0.11027433723211288
20009,2,4,-0.7593213319778442,0.09445074200630188
20009,2,5,-0.8002386689186096,0.09481822699308395
20009,2,6,-0.7459579110145569,0.10639943182468414
20009,2,8,-0.7177838087081909,0.0982835665345192
20009,2,10,-0.7153672575950623,0.10954061895608902
40000,4,1,-0.8287429809570312,0.09565790742635727
40000,4,2,-3.456535577774048,0.10167738795280457
40000,4,3,-0.8156334757804871,0.10052961111068726
40000,4,4,-0.956188976764679,0.09647912532091141
40000,4,5,-0.8201000690460205,0.09191063791513443
40000,4,6,-0.7707633972167969,0.10489331185817719
40000,4,8,-0.7346120476722717,0.0943240150809288
40000,4,10,-0.7069728970527649,0.08745847642421722
40001,4,1,-0.7866948843002319,0.10113494098186493
40001,4,2,-3.4426169395446777,0.0991373136639595
